Deadline,Date Posted,Company,Title,Link,Location,Education,Duration,Salary (Minimum),Focus
4/10/2026,11/4/2025,"NAACP Legal Defense & Educational Fund, Inc.","Intern, Policy",https://ldftm1.rec.pro.ukg.net/NAA1500NAAC/JobBoard/515de67c-164a-4bf0-a07a-021c44172a25/OpportunityDetail?opportunityId=13df6790-7acb-4bc6-b601-9ce35b17396d&source=LinkedIn,,Graduate/Law,Summer,,Criminal Justice
2/8/2026,1/15/2026,Council on Foreign Relations,CFR Internship Program,https://careers-cfr.icims.com/jobs/2838/cfr-internship-program-summer-2026/job?branding=none&mode=Apply&iss=LinkedIn&mobile=false&width=1496&height=500&bga=true&needsRedirect=false&jan1offset=-360&jun1offset=-300,"Washington, DC or New York",Undergraduate,Summer,$18.50,Foreign Policy
2/8/2026,1/15/2026,Council on Foreign Relations,CFR Internship Program,https://careers-cfr.icims.com/jobs/2838/cfr-internship-program-summer-2026/job?branding=none&mode=Apply&iss=LinkedIn&mobile=false&width=1496&height=500&bga=true&needsRedirect=false&jan1offset=-360&jun1offset=-300,"Washington, DC or New York",Undergraduate,Summer,$18.50,Foreign Policy
2/9/2026,1/14/2026,Southern Poverty Law Center,"Intern, Political Campaigns",https://job-boards.greenhouse.io/southernpovertylawcenter/jobs/8354288002,Various,Undergraduate,Summer,$17.95,Civil Rights
12/31/2026,1/1/2026,OECD,Internship Programme,https://jobs.smartrecruiters.com/OECD/744000101644285-internship-programme?trid=3a10f6c1-93d5-487a-b74c-e0ddec17241a,"Paris, France",Undergraduate,Varies,,Various
2/3/2026,1/19/2026,United Nations,Political Intern,https://careers.un.org/jobSearchDescription/270897?language=en,"New York City, NY",Senior,Varies,$0,Peacebuilding
,1/1/2026,United Nations,Various UNPAID Internships,"https://careers.un.org/jobopening?language=en&data=%257B%2522jle%2522:%255B%255D,%2522jc%2522:%255B%2522INT%2522%255D%257D",Various,Senior,Varies,$0,Various
01/23/2026,1/5/2026,Library of Congress,Library of Congress Intern (Onsite or Remote),https://www.usajobs.gov/job/853522500,"Washington, DC",Undergraduate,Summer,$17.47,Research
3/15/2026,11/17/2025,OpenSecrets,Research Intern,https://www.opensecrets.org/about/careers-research-internship?utm_source=substack&utm_medium=email,Remote,Undergraduate,Summer,$17.50,Transparency
,1/1/2026,Knight Foundation,Free Expression & Civic Engagement Research Intern,https://knightfoundation.org/about/employment/free-expression-civic-engagement-research-intern/,"Miami, FL",Undergraduate,Summer,$20,Freedom of Speech
1/25/2026,1/1/2026,Effective Institutions Project,Intern,https://effectiveinstitutionsproject.org/open_position/intern-summer-2026/?utm_source=substack&utm_medium=email,Remote,Undergraduate,Summer,$20,Research
2/20/2026,1/13/2026,Harris County,Policy & Innovation Intern,https://www.governmentjobs.com/careers/harriscountytx/jobs/5197490/policy-innovation-intern,"Houston, TX",Undergraduate,Summer,,Local
2/22/2026,1/20/2026,Brookings,"Talbott Center Research and Events Internship, Foreign Policy",https://interns-brookings.icims.com/jobs/3789/summer-2026%2c-talbott-center-research-and-events-internship%2c-foreign-policy-%28job-id-2026-3789%29/job?mode=job&iis=Job+Posting&iisn=LinkedIn&mobile=false&width=890&height=500&bga=true&needsRedirect=false&jan1offset=-360&jun1offset=-300,"Washington, DC",Junior,Summer,$18,Foreign Policy
2/22/2026,1/20/2026,Brookings,"Research Internship, China Center, Foreign Policy",https://interns-brookings.icims.com/jobs/3790/summer-2026%2c-research-internship%2c-china-center%2c-foreign-policy-%28job-id%3a-2026-3790%29/job,"Washington, DC",Junior,Summer,$18,Foreign Policy
2/22/2026,1/20/2026,Brookings,"Center for Technology Innovation Internship, Governance Studies",https://interns-brookings.icims.com/jobs/3793/summer-2026%2c-center-for-technology-innovation-internship%2c-governance-studies-%28job-id-2026-3793%29/job,"Washington, DC",Undergraduate,Summer,$18,Technology
2/22/2026,1/20/2026,Brookings,"Center for Effective Public Management Internship, Governance Studies",https://interns-brookings.icims.com/jobs/3787/summer-2026%2c-center-for-effective-public-management-internship%2c-governance-studies-%28job-id-2026-3787%29/job,"Washington, DC",Undergraduate,Summer,$18,US Politics
2/22/2026,1/20/2026,Brookings,"American Congress & Government Internship, Governance Studies",https://interns-brookings.icims.com/jobs/3786/summer-2026%2c-american-congress-%26-government-internship%2c-governance-studies-%28job-id-2026-3786%29/job,"Washington, DC",Undergraduate,Summer,$18,US Politics
2/22/2026,1/20/2026,Brookings,"Research Internship, Center for Universal Education, Global Economy and Development",https://interns-brookings.icims.com/jobs/3785/summer-2026%2c-research-internship%2c-center-for-universal-education%2c-global-economy-and-development-%28job-id-2026-3785%29/job,"Washington, DC",Junior,Summer,$18,Education
2/22/2026,1/20/2026,Brookings,"Research Internship, Brown Center on Education Policy, Governance Studies",https://interns-brookings.icims.com/jobs/3784/summer-2026%2c-research-internship%2c-brown-center-on-education-policy%2c-governance-studies-%28job-id-2026-3784%29/job,"Washington, DC",Junior,Summer,$18,Education
2/22/2026,1/20/2026,Brookings,"Research Internship, Global Economy and Development",https://interns-brookings.icims.com/jobs/3783/summer-2026%2c-research-internship%2c-global-economy-and-development-%28job-id-2026-3783%29/job,"Washington, DC",Junior,Summer,$18,Global Development
2/22/2026,1/20/2026,Brookings,"Research Internship, Center on Health Policy, Economic Studies",https://interns-brookings.icims.com/jobs/3777/summer-2026%2c-research-internship%2c-center-on-health-policy%2c-economic-studies-%28job-id-2026-3777%29/job,"Washington, DC",Junior,Summer,$18,Health
,1/1/2026,ACLU,Various Legal Internships,https://www.aclu.org/careers/internships/,Various,Graduate/Law,Summer,$24,Various
,1/1/2026,ACLU,National Prison Project Undergraduate Intern,https://www.aclu.org/careers/internships/apply/?job=8181471002&type=internships,"Washington, DC",Undergraduate,Summer,$20,Criminal Justice
1/23/2026,12/20/2025,ACEEE,Paid Summer Research Intern,https://recruiting.paylocity.com/recruiting/jobs/Details/3795583/American-Council-for-an-Energy-Efficient-Economy/Paid-Summer-Research-Intern?gh_src=Handshake&iisn=Handshake&iis=Handshake&src=Handshake&source=Handshake&ref=Handshake&utm_medium=Handshake&referral=Handshake&utm_source=Handshake&__jvst=Handshake&__jvsd=Handshake&sourceDetails=Handshake&trid=Handshake&lever-source%5B%5D=Handshake&Source=Handshake&rb=Handshake&jobBoardSource=Handshake&channel=Handshake&rcid=Handshake,Remote,Undergraduate,Summer,$18,Energy
1/31/2026,1/1/2026,Center for Political Accountability,CPA-Zicklin Corporate Political Spending Internships,https://www.politicalaccountability.net/about-us/internships/?gh_src=Handshake&iisn=Handshake&iis=Handshake&src=Handshake&source=Handshake&ref=Handshake&utm_medium=Handshake&referral=Handshake&utm_source=Handshake&__jvst=Handshake&__jvsd=Handshake&sourceDetails=Handshake&trid=Handshake&lever-source%5B%5D=Handshake&Source=Handshake&rb=Handshake&jobBoardSource=Handshake&channel=Handshake&rcid=Handshake,"Washington, DC",Undergraduate,Summer,"$2,000",Transparency
2/27/2026,1/1/2026,Office of U.S. Senator Jon Ossoff,Intern,https://www.ossoff.senate.gov/about/jobs-internships/?gh_src=Handshake&iisn=Handshake&iis=Handshake&src=Handshake&source=Handshake&ref=Handshake&utm_medium=Handshake&referral=Handshake&utm_source=Handshake&__jvst=Handshake&__jvsd=Handshake&sourceDetails=Handshake&trid=Handshake&lever-source%5B%5D=Handshake&Source=Handshake&rb=Handshake&jobBoardSource=Handshake&channel=Handshake&rcid=Handshake,Various,Undergraduate,Summer,,US Politics
